{ 61402.75000000f,61425.11000000f,61402.75000000f,61425.11000000f }
{ 61356.06000000f,61356.06000000f,61317.87000000f,61336.00000000f }
{ 61356.06000000f,61356.06000000f,61317.87000000f,61349.36000000f }
{ 61356.06000000f,61356.06000000f,61317.87000000f,61349.36000000f }
{ 61356.06000000f,61356.06000000f,61317.87000000f,61343.24000000f }
{ 61356.06000000f,61356.06000000f,61317.87000000f,61328.01000000f }
{ 61356.06000000f,61356.06000000f,61317.87000000f,61320.01000000f }
{ 61328.12000000f,61340.00000000f,61328.11000000f,61336.01000000f }
{ 61328.12000000f,61340.00000000f,61326.01000000f,61326.01000000f }
{ 61328.12000000f,61340.00000000f,61326.00000000f,61326.01000000f }
{ 61328.12000000f,61340.00000000f,61322.00000000f,61328.02000000f }
{ 61328.12000000f,61340.00000000f,61322.00000000f,61333.99000000f }
{ 61328.12000000f,61340.00000000f,61322.00000000f,61333.99000000f }
{ 61333.99000000f,61334.13000000f,61333.99000000f,61334.13000000f }
{ 61333.99000000f,61334.14000000f,61333.99000000f,61334.13000000f }
{ 61333.99000000f,61348.90000000f,61333.99000000f,61348.90000000f }
{ 61333.99000000f,61349.79000000f,61333.99000000f,61349.79000000f }
{ 61320.01000000f,61324.00000000f,61318.00000000f,61324.00000000f }
{ 61320.01000000f,61324.00000000f,61318.00000000f,61324.00000000f }
{ 61320.01000000f,61326.13000000f,61318.00000000f,61326.13000000f }
{ 61320.01000000f,61330.28000000f,61318.00000000f,61330.28000000f }
{ 61320.01000000f,61330.28000000f,61318.00000000f,61330.28000000f }
{ 61150.00000000f,61168.37000000f,61138.00000000f,61168.37000000f }
{ 61150.00000000f,61180.84000000f,61138.00000000f,61180.83000000f }
{ 61150.00000000f,61180.84000000f,61138.00000000f,61180.83000000f }
{ 61150.00000000f,61180.84000000f,61138.00000000f,61180.83000000f }
{ 61150.00000000f,61180.84000000f,61138.00000000f,61180.83000000f }
{ 61152.00000000f,61152.00000000f,61150.00000000f,61150.01000000f }
{ 61152.00000000f,61152.00000000f,61150.00000000f,61150.01000000f }
{ 61132.00000000f,61140.00000000f,61131.99000000f,61140.00000000f }
{ 61132.00000000f,61144.00000000f,61131.99000000f,61141.99000000f }
{ 61132.00000000f,61144.00000000f,61131.99000000f,61139.13000000f }
{ 61132.00000000f,61148.01000000f,61131.99000000f,61148.00000000f }
{ 61132.00000000f,61148.01000000f,61131.99000000f,61144.12000000f }
{ 61132.00000000f,61148.01000000f,61131.99000000f,61144.12000000f }
{ 61132.00000000f,61148.01000000f,61131.99000000f,61144.12000000f }
{ 61132.00000000f,61148.01000000f,61131.99000000f,61136.26000000f }
{ 61132.00000000f,61148.01000000f,61116.00000000f,61116.01000000f }
{ 61132.00000000f,61148.01000000f,61116.00000000f,61116.00000000f }
{ 61132.00000000f,61148.01000000f,61110.91000000f,61110.91000000f }
{ 61132.00000000f,61148.01000000f,61110.91000000f,61110.92000000f }
{ 61132.00000000f,61148.01000000f,61110.91000000f,61110.91000000f }
{ 61132.00000000f,61148.01000000f,61110.91000000f,61110.92000000f }
{ 61132.00000000f,61148.01000000f,61110.91000000f,61119.99000000f }
{ 61132.00000000f,61148.01000000f,61110.91000000f,61116.01000000f }
{ 61132.00000000f,61148.01000000f,61110.91000000f,61114.34000000f }
{ 61132.00000000f,61148.01000000f,61110.91000000f,61114.34000000f }
{ 61132.00000000f,61148.01000000f,61110.91000000f,61122.01000000f }
{ 61132.00000000f,61148.01000000f,61110.91000000f,61130.00000000f }
{ 61132.00000000f,61148.01000000f,61110.91000000f,61129.99000000f }
{ 61132.00000000f,61148.01000000f,61110.91000000f,61129.99000000f }
{ 61132.00000000f,61148.01000000f,61110.91000000f,61141.99000000f }
{ 61132.00000000f,61148.01000000f,61110.91000000f,61141.99000000f }
{ 61132.00000000f,61148.01000000f,61110.91000000f,61142.00000000f }
{ 61142.00000000f,61142.00000000f,61141.99000000f,61142.00000000f }
{ 61142.00000000f,61142.00000000f,61141.99000000f,61141.99000000f }
{ 61142.00000000f,61142.00000000f,61139.46000000f,61139.46000000f }
{ 61142.00000000f,61142.00000000f,61130.00000000f,61130.00000000f }
{ 61142.00000000f,61142.00000000f,61126.00000000f,61126.00000000f }
{ 61142.00000000f,61142.00000000f,61124.00000000f,61130.11000000f }
{ 61142.00000000f,61142.00000000f,61124.00000000f,61132.00000000f }
{ 61142.00000000f,61142.00000000f,61124.00000000f,61124.00000000f }
{ 61142.00000000f,61142.00000000f,61114.01000000f,61114.01000000f }
{ 61142.00000000f,61142.00000000f,61104.57000000f,61104.57000000f }
{ 61142.00000000f,61142.00000000f,61104.57000000f,61104.57000000f }
{ 61104.57000000f,61104.57000000f,61100.06000000f,61100.06000000f }
{ 61104.57000000f,61104.57000000f,61094.21000000f,61094.21000000f }
{ 61104.57000000f,61104.57000000f,61094.20000000f,61094.21000000f }
{ 61104.57000000f,61104.57000000f,61090.65000000f,61090.65000000f }
{ 61104.57000000f,61104.57000000f,61090.65000000f,61098.00000000f }
{ 61104.57000000f,61104.57000000f,61090.65000000f,61098.00000000f }
{ 61104.57000000f,61104.57000000f,61090.65000000f,61098.00000000f }
{ 61104.57000000f,61104.57000000f,61090.65000000f,61098.00000000f }
{ 61104.57000000f,61104.57000000f,61090.65000000f,61098.00000000f }
{ 61104.57000000f,61104.57000000f,61090.65000000f,61104.56000000f }
{ 61104.57000000f,61104.57000000f,61090.65000000f,61098.00000000f }
{ 61104.57000000f,61104.57000000f,61090.65000000f,61096.65000000f }
{ 61104.57000000f,61104.57000000f,61090.65000000f,61096.65000000f }
{ 61104.57000000f,61106.00000000f,61090.65000000f,61106.00000000f }
{ 61104.57000000f,61107.99000000f,61090.65000000f,61107.98000000f }
{ 61104.57000000f,61107.99000000f,61090.65000000f,61107.99000000f }
{ 61104.57000000f,61107.99000000f,61090.65000000f,61107.98000000f }
{ 61104.57000000f,61107.99000000f,61090.65000000f,61107.99000000f }
{ 61104.57000000f,61107.99000000f,61090.65000000f,61107.98000000f }
{ 61104.57000000f,61107.99000000f,61090.65000000f,61107.98000000f }
{ 61104.57000000f,61119.99000000f,61090.65000000f,61119.99000000f }
{ 61104.57000000f,61130.00000000f,61090.65000000f,61130.00000000f }
{ 61104.57000000f,61130.00000000f,61090.65000000f,61130.00000000f }
{ 61104.57000000f,61130.00000000f,61090.65000000f,61130.00000000f }
{ 61104.57000000f,61130.00000000f,61090.65000000f,61125.79000000f }
{ 61104.57000000f,61130.00000000f,61090.65000000f,61125.79000000f }
{ 61104.57000000f,61130.00000000f,61090.65000000f,61125.79000000f }
{ 61125.80000000f,61125.80000000f,61125.79000000f,61125.79000000f }
{ 61125.80000000f,61125.80000000f,61121.56000000f,61121.57000000f }
{ 61125.80000000f,61125.80000000f,61121.56000000f,61121.56000000f }
{ 61125.80000000f,61125.80000000f,61119.39000000f,61119.39000000f }
{ 61125.80000000f,61125.80000000f,61112.44000000f,61112.44000000f }
{ 61125.80000000f,61125.80000000f,61112.44000000f,61112.44000000f }
{ 61125.80000000f,61125.80000000f,61112.44000000f,61112.44000000f }
{ 61125.80000000f,61125.80000000f,61099.37000000f,61099.38000000f }
{ 61125.80000000f,61125.80000000f,61096.00000000f,61096.00000000f }
{ 61125.80000000f,61125.80000000f,61094.01000000f,61094.01000000f }
{ 61125.80000000f,61125.80000000f,61094.00000000f,61096.20000000f }
{ 61125.80000000f,61125.80000000f,61094.00000000f,61094.00000000f }
{ 61125.80000000f,61125.80000000f,61090.00000000f,61090.01000000f }
{ 61125.80000000f,61125.80000000f,61090.00000000f,61090.00000000f }
{ 61007.14000000f,61018.00000000f,61007.14000000f,61010.01000000f }
{ 61007.14000000f,61018.00000000f,61007.14000000f,61008.01000000f }
{ 61007.14000000f,61018.00000000f,61000.00000000f,61000.01000000f }
{ 61007.14000000f,61018.00000000f,61000.00000000f,61000.01000000f }
{ 61007.14000000f,61018.00000000f,61000.00000000f,61001.50000000f }
{ 61007.14000000f,61018.00000000f,61000.00000000f,61000.00000000f }
